,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
164,"['gas', 'regas', 'trgas', 'regad', 'trgad', 'remk', 'trmk', 'ctwav']",4,2,19,1162132,73.38129496402878,0,0.5567307692307691,60
165,"['rerp', 'trrp', 'trgas', 'gad', 'trgad', 'ctwav']",2,3,20,98167,74.10071942446044,0,0.5141483516483516,125
166,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'ctwav']",2,3,21,118740,68.34532374100719,0,0.523076923076923,125
167,"['rp', 'gas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",4,1,14,352924,77.6978417266187,0,0.595054945054945,108
168,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'trmk']",4,2,19,1161152,71.94244604316546,0,0.5281593406593406,60
169,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad']",2,3,15,64262,76.2589928057554,0,0.6043956043956044,123
170,"['gas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",4,2,21,1402930,76.2589928057554,0,0.5949175824175824,60
171,"['rerp', 'trrp', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,15,65046,73.38129496402878,0,0.5662087912087912,125
172,"['trrp', 'gas', 'regas', 'gad', 'regad']",2,2,12,26996,78.41726618705036,0,0.6188186813186812,94
173,"['rerp', 'trgas', 'gad', 'trgad', 'remk', 'trmk', 'ctwav']",4,2,16,746010,74.82014388489209,0,0.6042582417582418,151
174,"['rp', 'trrp', 'trgas', 'mk', 'ctwav']",3,1,16,114606,76.97841726618705,0,0.6471153846153846,88
175,"['rp', 'trrp', 'gas', 'regas', 'gad', 'regad']",4,2,19,1160172,78.41726618705036,0,0.6377747252747253,66
176,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk']",2,3,23,140384,75.53956834532374,0,0.599587912087912,122
177,"['rp', 'trrp', 'gas', 'regas', 'trgad', 'mk', 'remk']",2,3,23,140384,76.97841726618705,0,0.6376373626373627,124
178,"['trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk']",2,3,16,64262,79.13669064748201,0,0.6236263736263735,125
179,"['trrp', 'gas', 'gad', 'regad', 'trgad', 'mk', 'ctwav']",3,2,23,415286,69.06474820143885,0,0.5752747252747253,130
180,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,24,143912,79.85611510791367,0,0.6947802197802199,131
181,"['rp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'remk']",3,3,21,484402,76.2589928057554,0,0.6043956043956044,155
182,"['trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,3,23,140384,75.53956834532374,0,0.5237637362637363,122
183,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'remk']",2,3,23,140384,76.97841726618705,0,0.6186813186813187,122
184,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",4,2,12,422324,79.13669064748201,0,0.6710164835164836,154
185,"['rerp', 'trrp', 'gas', 'trgas', 'mk', 'remk']",3,1,17,145005,74.82014388489209,0,0.5568681318681319,90
186,"['rp', 'regad', 'trmk', 'ctwav']",3,2,20,287452,74.10071942446044,0,0.5804945054945054,130
187,"['trrp', 'regas', 'regad', 'trgad', 'remk']",2,2,21,84162,76.97841726618705,0,0.6186813186813187,97
188,"['rerp', 'trgad', 'mk']",2,1,17,33873,79.85611510791367,0,0.6947802197802199,62
189,"['trrp', 'gas', 'regas', 'trgad', 'remk', 'trmk']",2,3,24,139208,76.2589928057554,0,0.6138736263736263,127
190,"['trrp', 'gas', 'regad', 'trgad', 'remk']",2,1,23,60956,77.6978417266187,0,0.623489010989011,62
191,"['trrp', 'gas', 'trgad', 'mk']",2,3,23,136856,74.82014388489209,0,0.5663461538461538,122
192,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk', 'remk']",3,3,21,484402,78.41726618705036,0,0.6472527472527473,163
193,"['trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk', 'ctwav']",3,2,15,189338,74.10071942446044,0,0.5899725274725274,135
194,"['rp', 'trrp', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,2,24,101846,76.97841726618705,0,0.6092032967032966,97
195,"['rerp', 'trrp', 'gas', 'gad', 'trgad', 'remk', 'ctwav']",3,3,23,575096,76.97841726618705,0,0.6376373626373627,167
196,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,2,23,418814,76.97841726618705,0,0.6565934065934066,139
197,"['trrp', 'regas', 'regad', 'trgad', 'mk', 'remk']",3,2,21,348888,75.53956834532374,0,0.6185439560439562,129
198,"['trrp', 'gas', 'regas', 'trgas', 'trgad']",3,3,23,572744,78.41726618705036,0,0.6946428571428571,155
199,"['rp', 'trrp', 'gas', 'trgad', 'mk']",2,3,15,63478,74.10071942446044,0,0.6184065934065934,126
200,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,13,352238,74.10071942446044,0,0.5331043956043956,110
