,img_coding,num_layer,num_cell,start_cell_dim,parameter_num,acc,f-1_score,roc_auc_score,time
315,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",4,3,74,21852351,80.66666666666667,0.8011227183960056,0,147
316,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'remk', 'trmk']",3,2,94,6248662,81.16666666666667,0.808453526379694,0,93
317,"['regas', 'gad', 'remk', 'trmk', 'ctwav']",4,1,38,2586064,78.5,0.7754649448543312,0,77
318,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk', 'trmk']",3,2,93,6244056,80.83333333333333,0.8039241177813325,0,87
319,"['rp', 'regas', 'remk', 'ctwav']",3,2,94,6230238,78.5,0.7778813289771471,0,95
320,"['rp', 'rerp', 'remk']",4,1,91,14960985,79.0,0.7823517086977175,0,80
321,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'trgad', 'remk']",3,2,94,6248662,82.5,0.8231819101216058,0,85
322,"['regas', 'trgas', 'mk', 'remk', 'trmk', 'ctwav']",2,1,16,32360,39.333333333333336,0.3409351671021524,0,85
323,"['rerp', 'trrp', 'trgas', 'regad', 'trgad', 'mk', 'trmk', 'ctwav']",3,3,94,8670736,79.66666666666667,0.7928110385660863,0,108
324,"['rp', 'rerp', 'gas', 'regas', 'gad', 'mk']",3,3,94,8661524,81.0,0.8047778429549193,0,108
325,"['trrp', 'regas', 'regad', 'trmk', 'ctwav']",2,1,32,110708,56.666666666666664,0.5462945405958148,0,95
326,"['gad', 'trgad', 'remk']",3,2,35,931218,77.5,0.7692187619492775,0,165
327,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,2,12,30318,38.5,0.30617702622926163,0,119
328,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad']",4,2,86,21285274,82.16666666666667,0.8163830054708705,0,104
329,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgad', 'remk']",4,2,95,26509068,82.0,0.8157163245600114,0,109
